Year,Brand,Funny,Patriotic,Danger,Sexual,Total_Ads
2000,E-Trade,2,0,1,0,2
2000,Bud Light,2,0,2,1,2
2000,Budweiser,4,0,1,0,4
2001,Bud Light,3,0,1,2,3
2001,Budweiser,1,0,0,0,2
2001,Doritos,1,0,0,1,1
2001,E-Trade,1,0,2,0,2
2001,NFL,0,0,0,0,1
2001,Pepsi,4,1,1,3,4
2002,Bud Light,4,0,4,3,4
2002,Budweiser,3,1,0,1,4
2002,E-Trade,1,0,0,1,1
2002,Pepsi,0,0,0,1,1
2003,Bud Light,7,0,2,3,7
2003,Budweiser,3,0,0,1,3
2003,NFL,0,0,0,0,1
2003,Pepsi,1,0,0,0,1
2004,Bud Light,5,0,3,3,5
2004,Budweiser,2,1,0,1,3
2004,Pepsi,2,0,0,0,2
2004,Toyota,1,0,1,0,1
2005,Bud Light,4,0,1,3,4
2005,Budweiser,1,0,0,0,1
2005,Pepsi,3,0,0,2,3
2006,Bud Light,2,0,1,0,2
2006,Budweiser,3,0,1,1,3
2006,Pepsi,2,0,1,1,2
2007,Bud Light,5,0,3,0,5
2007,Budweiser,1,0,1,1,3
2007,Coca-Cola,0,1,1,0,2
2007,Doritos,2,0,1,2,2
2007,E-Trade,1,1,0,0,1
2007,Toyota,0,0,0,0,1
2008,Bud Light,7,1,1,3,7
2008,Budweiser,0,1,0,0,1
2008,Coca-Cola,2,1,1,0,2
2008,Doritos,1,0,1,0,1
2008,Hynudai,0,0,0,0,1
2008,Pepsi,1,0,1,1,1
2009,Bud Light,2,0,2,1,2
2009,Budweiser,1,2,0,0,2
2009,Coca-Cola,2,0,1,0,3
2009,Doritos,3,0,1,2,3
2009,E-Trade,1,0,0,0,1
2009,Hynudai,1,0,0,0,2
2009,Pepsi,1,1,2,0,2
2010,Bud Light,3,0,1,1,3
2010,Budweiser,1,1,0,0,1
2010,Doritos,3,0,2,0,3
2010,E-Trade,3,0,0,1,3
2010,Hynudai,0,1,0,0,2
2010,Kia,1,0,0,1,1
2010,NFL,0,1,0,0,1
2011,Bud Light,1,0,0,0,1
2011,Coca-Cola,1,0,1,0,2
2011,Doritos,1,0,1,0,1
2011,Hynudai,1,0,0,0,3
2011,Kia,1,0,1,1,1
2011,Pepsi,1,0,1,1,1
2012,Bud Light,1,0,0,1,2
2012,Budweiser,0,2,0,1,2
2012,Coca-Cola,0,0,1,0,3
2012,Doritos,2,0,1,0,2
2012,E-Trade,1,0,0,0,1
2012,Hynudai,1,0,1,0,1
2012,Kia,1,0,0,1,1
2012,NFL,0,0,0,0,1
2012,Pepsi,0,0,0,0,0
2012,Toyota,1,0,1,1,1
2013,Bud Light,2,1,1,1,2
2013,Budweiser,0,0,0,2,3
2013,Doritos,2,0,0,0,2
2013,E-Trade,1,0,0,0,1
2013,Hynudai,2,0,2,0,4
2013,Kia,2,0,1,2,2
2013,Pepsi,0,0,0,1,1
2014,Bud Light,1,0,0,2,3
2014,Budweiser,0,2,0,0,2
2014,Coca-Cola,1,1,0,0,2
2014,Doritos,2,0,1,0,2
2014,Hynudai,2,0,2,2,2
2014,Kia,0,0,1,0,1
2014,NFL,0,0,0,0,1
2014,Toyota,1,0,0,0,1
2015,Budweiser,1,2,2,0,3
2015,Coca-Cola,0,0,0,0,1
2015,Doritos,3,1,1,2,3
2015,Kia,1,0,1,1,1
2015,Pepsi,0,0,0,0,1
2015,Toyota,0,1,0,0,1
2016,Bud Light,1,1,0,0,1
2016,Budweiser,0,1,0,0,2
2016,Coca-Cola,1,0,1,0,1
2016,Doritos,2,0,0,0,2
2016,Hynudai,3,0,1,1,3
2016,Kia,1,0,0,0,1
2016,NFL,0,1,0,0,1
2016,Pepsi,0,0,0,0,1
2016,Toyota,1,0,1,0,1
2017,Budweiser,0,1,1,0,1
2017,Hynudai,0,1,0,0,1
2017,Kia,1,0,1,0,1
2017,NFL,0,1,0,0,2
2018,Bud Light,2,0,2,0,2
2018,Budweiser,0,1,0,0,1
2018,Coca-Cola,0,1,0,1,3
2018,Doritos,1,0,0,0,1
2018,E-Trade,1,1,0,1,1
2018,Hynudai,0,0,0,0,1
2018,Kia,0,0,0,0,1
2018,NFL,1,0,0,0,1
2018,Pepsi,0,1,0,0,1
2018,Toyota,1,1,0,0,2
2019,Bud Light,4,0,2,0,4
2019,Budweiser,0,0,0,0,1
2019,Coca-Cola,0,1,0,0,1
2019,Doritos,0,0,0,0,1
2019,Hynudai,1,1,0,0,1
2019,Kia,0,2,0,0,2
2019,NFL,1,0,0,0,1
2019,Pepsi,2,0,0,1,2
2019,Toyota,0,0,0,0,2
2020,Bud Light,1,0,1,0,1
2020,Budweiser,0,1,1,0,1
2020,Coca-Cola,1,0,0,0,1
2020,Doritos,1,0,1,0,1
2020,Hynudai,1,0,0,0,1
2020,Kia,0,0,0,0,1
2020,NFL,0,1,0,0,1
2020,Pepsi,0,0,0,0,1
2020,Toyota,1,0,1,0,1
